Week,Date Range,Hours
Week 1,21–25 Nov 2018,10
Week 2,26 Nov–2 Dec 2018,11
Week 3,3–9 Dec 2018,14
Week 4,10–16 Dec 2018,16
Week 5,17–23 Dec 2018,14
Week 6,24–30 Dec 2018,12
Week 7,31 Dec 2018–6 Jan 2019,15
Week 8,7–13 Jan 2019,16
Week 9,14–20 Jan 2019,14
Week 10,21–27 Jan 2019,14
Week 11,28 Jan–3 Feb 2019,13
Week 12,4–10 Feb 2019,13
Week 13,11–17 Feb 2019,13
Week 14,18–24 Feb 2019,13
Week 15,25 Feb–3 Mar 2019,12
Week 16,4–10 Mar 2019,14
Week 17,11–20 Mar 2019,44
